,comentario,machista,fuenteURL,titulo,tipoFuente,nombreMedio,generoProtagonista,numeroProtagonista,ambito,numeroComentarios,tematica,delete,fuenteID
0,"La madre al decir alumnes  ha echado por tierra todos los argumentos, ojalá me confunda pero al oír eso he empezado a sospechar que ha adoctrinado a su hija.",1,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
1,"dragneel A no pues sì, todo en exceso hace daño, pero el azúcar refinada es más fácil llegar al exceso.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
2,"Esta estupid@ antinomia de comer carne o vegetales, quien les ha hecho creer a uds los vegetarianos que tienen la autoridad de decirle a la gente que está bien comer o no? (me refiero a esos vegetarianos que se creen dueño de la verdad) desde cuando comer verduras es la alimentación perfecta, he leído informes de médicos que cuestionan este tipo de alimentación, como los hay de esos que las avalan, porque no se dejan de romper las  y dejan que cada uno haga lo que le parece correcto? en mi país un grupo de vegetarianos agarro a patadas la vidriera de un restaurante porque vendían cortes de carne, que clase de idiot son esos? Vivir y dejar vivir es el lema que deben aprender,",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
3,jajajajajajajjaja tal cual loco,0,https://www.youtube.com/watch?v=EviNPfSmoQs,A casa que hay que hacer la cena y los MEMES FEMINISTAS,comentarios de video,youtube,mujer,general,mixto,1801.0,manifestación;acto público;youtuber,,Y2
4,Abria que reportarla por derechos de autor jajajajajjajajajajajjajaja,0,https://www.youtube.com/watch?v=EviNPfSmoQs,A casa que hay que hacer la cena y los MEMES FEMINISTAS,comentarios de video,youtube,mujer,general,mixto,1801.0,manifestación;acto público;youtuber,,Y2
5,"No existe ser ""feminista"" sin ser vegano No existe ser ""animalista/anti taurino"" sin ser vegano No existe ser ""ecologista"" sin ser vegano No existe ser ""anarquista sin ser vegano"" No existe ser ""buena persona"" sin ser vegano  El ""liberalismo"" es uno de los  cánceres del planeta",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
6,ciertamente vivirás una realidad diferente en tu país. Acá ser vegano es un lujo. Arroz con huevo es lo que  come el pobre todos los días porque las legumbres y vegetales están caros por acá. Saludos,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
7,10:54 xDDDD,D,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
8,"Me encantas tio, das zascas por todos lados da gusto oir a alguien con la mente tan expandida como para sacar de un hilo otros 3 y hacer recapacitar a cada persona con la que te cruzas jajajaja todo muy coherente, enhorabuena por tus videos",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
9,Andres Pardo como se arden por un comentario cualquiera y hacen la mismisima biblia como argumento,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
10,10:18 esa señora me recordó a Tata ( Tae ),C,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
11,"Mimoso A ver, cómo llegas a la conclusión de que es el PSOE el partido que más ha robado? El PP entonces? En España ha habido mucha corrupción y eso no va a cambiar del día a la mañana. Sobre todo cuando la gente sigue votando por partidos que han robado. Y esa fórmula de hacerle regalos fiscales a los patrones, (pensar que si pagan menos impuestos van a crear más empleos), NUNCA HA FUNCIONADO EN EL MUNDO. En ningún país europeo a no ser que se trate de un paraíso fiscal. No puede ser que la gente tenga memoria de pez. Que llegue el PP y explique que va a bajar los impuestos a los ricos, lo haga... que siga el paro y que al poco tiempo vuelvan con el mismo cuento y la misma excusa. ""bajar los impuestos a los ricos"". O sea, que los que soporten el grueso de la fiscalización sean las clases populares. No te das cuenta de lo ridículo que eres defendiendo los intereses de los que te explotan? Cómo se puede ser tan pelotilla? Mira cómo funcionan las cosas en los países desarrollados ante de decir tonterías. En Bélgica, un obrero no ve en su cuenta la mitad de lo que gana. Te lo digo por experiencia... Pero se vive mejor que en España. Por qué será?",0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
12,Es la más sincera no intenta quedar bien,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
13,"La vida es cruel , unos comemos del reino animal, otros del vegetal y muchos de los dos , pero eso es ley de vida , si es algo no ético para usted no lo haga y todos felices ( pero hay que decir que esa tradición española se debería dejar atras , aunque de seguro deja mucho capital,  ya eso es de que forma lo mires tu , la lógica o la ética ).",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
14,"en las guerras muere muchisima mas gente, los que morían en el coliseo ya estaban condenados, era como la pena de muerte en usa",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
15,No sé ustedes en España pero en Colombia las corridas ya son prohibidas y lo de la carne pues la ley también prohíbe una muerte cruel a el animal :v,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
16,"Comparar una ""tradición"" con una industria tiene bastante poco sentido. Ambas representan problemas morales distintos y no pueden meterse en el mismo saco. Y en cuanto al probar medicina y vacunas con animales, no se lo de acuerdo que estará Roma, pero si es necesario para el avance medico habría que plantearse si el coste moral de trabajar con animales es mayor o inferior al que sufran las consecuencias los humanos. No lo he visto muy fino en este video",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
17,"Cada quien con sus gustos, la muerte es muerte sea de una manera o de otra, que vivan las parrilladas",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
18,¿Este crack es vegano? ¿Alguien conoce su dieta?,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
19,Jajajajajajajajajajajaja me muero de risa cada vez que lo veo jajajajajajajajaja,0,https://www.youtube.com/watch?v=EviNPfSmoQs,A casa que hay que hacer la cena y los MEMES FEMINISTAS,comentarios de video,youtube,mujer,general,mixto,1801.0,manifestación;acto público;youtuber,,Y2
20,"manoplata  Pero que tiene que ver el tiempo en el que estamos? Los vegetales siempre han existido. Todos los nutrientes que necesitamos están en los vegetales, y no necesitamos de alimentos procesados. Legumbres, frutos secos, frutas, etc. Pero bueno, siguiendote el juego: me gustaría verte A Ti comiendo carne CRUDA. por que hoy en día es fácil hacer la carne con condimentos, cocinada y además siendo carne procesada. Me gustaría verte a ti comiendo carne cruda y no usando tenedores o cuchillos, sino desgarrando esa carne con tus dientes. Intenta desgarrar un pedazo de carne cruda con tus """"""colmillos"""""" y dime como te va.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
21,Esa mujer ha admitido lo que el 80% de personas piensa pero no admite por no parecer insensibles o malos. La realidad es que a la mayoria le es indiferente el sufrimiento de los animales.. pero queda muy moderno  ser animalista de postureo y parece una barbaridad decir lo que esa chica a dicho.. pero es la triste realidad de nuestra sociedad dicha sin filtros,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
